,stock,sector,ROE,EPS,beta,recom
0,LUV,Industrials,-0.15579,16.694,1.24072,2
1,PKI,Healthcare,0.32813,43.399,1.063896,2.1
2,ENPH,Technology,0.18447,6.828,1.24214,2.1
3,DAL,Industrials,-0.02247,38.368,1.350793,2.2
4,CHD,Consumer Defensive,0.24379,20.814,0.380423,2.8
5,NTRS,Financial Services,0.1102,29.921,1.101528,2.9
6,IR,Industrials,0.05585,14.105,1.516565,2
7,VRSN,Technology,,11.596,0.848311,2.2
8,DRE,Real Estate,0.07063,2.876,0.525543,2.1
9,NDAQ,Financial Services,0.18642999,35.598,0.826493,2.4
10,STE,Healthcare,0.048800003,42.673,0.615064,1.6
11,HIG,Financial Services,0.12186,61.763,1.060779,2
12,LYB,Basic Materials,0.59291,123.593,1.520105,2.6
13,URI,Industrials,0.24927,127.376,1.941818,2.3
14,MKC,Consumer Defensive,0.18172,23.002,0.491534,3
15,VFC,Consumer Cyclical,0.2543,26.535,1.475132,2.2
16,DTE,Utilities,0.108710006,70.176,0.66909,2.4
17,PPL,Utilities,0.05565,9.999,0.768013,2.5
18,AEE,Utilities,0.106800005,23.276,0.31164,2.1
19,ESS,Real Estate,0.07594,23.052,0.750403,2.5
20,STX,Technology,1.33526,49.016,1.113537,
21,WAT,Healthcare,5.4795203,44.216,0.806753,2.9
22,BBY,Consumer Cyclical,0.63223,207.218,1.587532,2.5
23,HBAN,Financial Services,0.06917,4.495,1.319576,2.3
24,EXPD,Industrials,0.39303002,86.41,0.785454,3.1
25,GWW,Industrials,0.43745998,232.008,1.21834,2.7
26,POOL,Consumer Cyclical,0.76482004,126.972,0.847272,2.3
27,FE,Utilities,0.13922,19.919,0.22826,2.4
28,ETR,Utilities,0.11343,54.583,0.557314,2.1
29,GNRC,Industrials,0.34328,54.868,0.902717,1.7
30,KEY,Financial Services,0.14532,7.891,1.503376,2.6
31,ULTA,Consumer Cyclical,0.45192,146.542,1.668051,2.2
32,TRMB,Technology,0.1472,13.751,1.566137,2
33,TYL,Technology,0.09764,28.153,0.565217,1.9
34,CTLT,Healthcare,0.14791,24.607,1.338701,1.7
35,XYL,Industrials,0.15459,29.102,1.033766,2.7
36,BR,Technology,0.34655997,44.591,0.881558,2.6
37,CLX,Consumer Defensive,0.95866996,58.461,0.186681,3.1
38,MPWR,Technology,0.20434,24.216,0.913766,1.8
39,TTWO,Communication Services,0.17693001,29.222,0.607272,2.1
40,BKR,Energy,0.01663,26.374,1.641038,2
41,DGX,Healthcare,0.34916002,85.794,1.002077,2.1
42,KMX,Consumer Cyclical,0.28465,150.572,1.652883,1.8
43,COO,Healthcare,0.547,59.4,0.861298,2.3
44,RF,Financial Services,0.14778,7.472,1.47619,2.4
45,HPE,Technology,0.18979,21.225,1.217662,2.5
46,GRMN,Technology,0.22934,25.359,1.007641,2.4
47,NTAP,Technology,1.70319,26.512,1.214545,2.5
48,VTR,Real Estate,0.01889,9.986,1.29203,2.5
49,DPZ,Consumer Cyclical,,112.402,0.534025,2.4
50,HES,Energy,0.02,18.993,2.218886,2.2
51,TDY,Technology,0.07366,91.111,1.138095,1.9
52,HAL,Energy,0.02918,15.073,2.864628,2.2
53,CFG,Financial Services,0.09784,16.178,1.590129,2
54,PAYC,Technology,0.23549,17.155,1.474285,2
55,WDC,Technology,0.03616,53.715,1.600543,2.2
56,GPC,Consumer Cyclical,0.26774,123.839,1.095767,2.8
57,NVR,Consumer Cyclical,0.40021,2359.106,1.022925,2.7
58,ABC,Healthcare,,1039.189,0.538755,2.2
59,TECH,Healthcare,0.094560005,24.028,1.127729,1.8
60,MTB,Financial Services,0.10706,44.86,1.195414,2.6
61,CZR,Consumer Cyclical,-0.53109,36.718,3.060317,1.9
62,SBNY,Financial Services,0.12943,31.633,1.931948,1.7
63,HOLX,Healthcare,0.66317004,21.922,1.171397,1.6
64,DRI,Consumer Cyclical,0.3225,61.121,1.446233,2.1
65,PEAK,Real Estate,7e-05,3.317,0.668668,2.3
66,AKAM,Technology,0.13941,20.468,0.449704,2.1
67,CMS,Utilities,0.12907,25.289,0.208831,2.5
68,CRL,Healthcare,0.18369,68.366,1.126233,1.8
69,VIAC,Communication Services,0.17475,43.364,1.598961,2.5
70,RJF,Financial Services,0.18128,47.705,1.21922,1.8
71,FLT,Technology,0.26971,31.919,1.421298,2.2
72,BBWI,Consumer Cyclical,,47.477,1.737662,
73,CE,Basic Materials,0.79441,69.504,1.256623,2.1
74,AMCR,Consumer Cyclical,0.20193,8.543,0.425567,3
75,FDS,Financial Services,0.39584,43.02,0.753766,3.2
76,FANG,Energy,0.04062,30.716,2.535584,1.9
77,IP,Consumer Cyclical,0.21531999,56.01,0.95948,2.3
78,J,Industrials,0.067389995,108.243,0.815064,1.7
79,PFG,Financial Services,0.1074,51.294,1.60935,2.8
80,MGM,Consumer Cyclical,0.05406,15.946,2.448144,2.4
81,IEX,Industrials,0.16851,34.998,1.068051,2.2
82,AVY,Industrials,0.47794998,98.869,0.992207,2.1
83,CNP,Utilities,-0.0357,14.128,0.963636,2.1
84,UDR,Real Estate,0.01508,4.315,0.721558,2.5
85,QRVO,Technology,0.20497,38.258,1.354803,2.1
86,WAB,Industrials,0.04163,39.384,1.660869,2.4
87,TXT,Industrials,0.13177,56.233,1.765608,
88,MAS,Industrials,2.33833,32.398,1.346739,2.3
89,JBHT,Industrials,0.24867001,108.138,1.085714,2.4
90,RCL,Consumer Cyclical,-0.54748,0.979,2.848369,2.4
91,CINF,Financial Services,0.23395,55.889,0.667573,2.6
92,BXP,Real Estate,0.049569998,17.624,1.239913,2.6
93,ABMD,Healthcare,0.116210006,21.494,1.302313,2.5
94,CCL,Consumer Cyclical,-0.53651,1.699,2.307692,
95,VTRS,Healthcare,-0.11405,15.328,1.431168,2.4
96,BIO,Healthcare,0.55127,99.959,0.873766,1.6
97,BRO,Financial Services,0.14923,10.451,0.679891,2.5
98,CAG,Consumer Defensive,0.14337,23.063,0.755324,2.7
99,EMN,Basic Materials,0.08428001,73.443,1.532467,2
